file,label,game_idx,swapped,result,total_moves,last_book_ply,book_time_white,book_time_black,opening_phase_time_white,opening_phase_time_black,opening_phase_plies
metrics_minimax_trad_d4_book_off_g33_swap.jsonl,minimax_trad_d4_book_off,33,True,0-1,120,0,0.0,0.0,6.887,5.646,20
metrics_minimax_trad_d4_book_off_g34_swap.jsonl,minimax_trad_d4_book_off,34,True,0-1,120,0,0.0,0.0,6.863,5.626,20
metrics_minimax_trad_d4_book_off_g35_swap.jsonl,minimax_trad_d4_book_off,35,True,0-1,120,0,0.0,0.0,6.905,5.666,20
metrics_minimax_trad_d4_book_off_g36_swap.jsonl,minimax_trad_d4_book_off,36,True,0-1,120,0,0.0,0.0,6.867,5.642,20
metrics_minimax_trad_d4_book_off_g37_swap.jsonl,minimax_trad_d4_book_off,37,True,0-1,120,0,0.0,0.0,6.863,5.628,20
metrics_minimax_trad_d4_book_off_g38_swap.jsonl,minimax_trad_d4_book_off,38,True,0-1,120,0,0.0,0.0,6.914,5.676,20
metrics_minimax_trad_d4_book_off_g39_swap.jsonl,minimax_trad_d4_book_off,39,True,0-1,120,0,0.0,0.0,6.913,5.648,20
metrics_minimax_trad_d4_book_off_g3_orig.jsonl,minimax_trad_d4_book_off,3,False,0-1,120,0,0.0,0.0,6.902,5.655,20
metrics_minimax_trad_d4_book_off_g40_swap.jsonl,minimax_trad_d4_book_off,40,True,0-1,120,0,0.0,0.0,6.919,5.662,20
metrics_minimax_trad_d4_book_off_g4_orig.jsonl,minimax_trad_d4_book_off,4,False,0-1,120,0,0.0,0.0,6.901,5.653,20
metrics_minimax_trad_d4_book_off_g5_orig.jsonl,minimax_trad_d4_book_off,5,False,0-1,120,0,0.0,0.0,6.9,5.63,20
metrics_minimax_trad_d4_book_off_g6_orig.jsonl,minimax_trad_d4_book_off,6,False,0-1,120,0,0.0,0.0,6.864,5.625,20
metrics_minimax_trad_d4_book_off_g7_orig.jsonl,minimax_trad_d4_book_off,7,False,0-1,120,0,0.0,0.0,24.779,18.513,20
metrics_minimax_trad_d4_book_off_g8_orig.jsonl,minimax_trad_d4_book_off,8,False,0-1,120,0,0.0,0.0,6.975,5.724,20
metrics_minimax_trad_d4_book_off_g9_orig.jsonl,minimax_trad_d4_book_off,9,False,0-1,120,0,0.0,0.0,6.93,5.657,20
metrics_minimax_trad_d4_book_on_g10_orig.jsonl,minimax_trad_d4_book_on,10,False,1/2-1/2,131,27,0.005,0.003,0.004,0.003,20
metrics_minimax_trad_d4_book_on_g11_orig.jsonl,minimax_trad_d4_book_on,11,False,1-0,89,30,0.003,0.005,0.002,0.003,20
metrics_minimax_trad_d4_book_on_g12_orig.jsonl,minimax_trad_d4_book_on,12,False,1/2-1/2,63,25,0.002,0.003,0.002,0.003,20
metrics_minimax_trad_d4_book_on_g13_orig.jsonl,minimax_trad_d4_book_on,13,False,1/2-1/2,130,20,0.003,0.002,1.028,0.002,20
