"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"minimax_trad_d4_vs_minimax_trad_d4","19","MINIMAX_TRAD","MINIMAX_TRAD","True","18","0-1","checkmate","67,12","0"
"minimax_trad_d4_vs_minimax_trad_d4","20","MINIMAX_TRAD","MINIMAX_TRAD","True","19","0-1","checkmate","84,4","0"
"minimax_trad_d4_vs_minimax_trad_d4","21","MINIMAX_TRAD","MINIMAX_TRAD","True","20","0-1","checkmate","56,35","0"
"minimax_trad_d4_vs_minimax_trad_d4","22","MINIMAX_TRAD","MINIMAX_TRAD","True","21","1/2-1/2","draw_3fold_claim","37,99","0"
"minimax_trad_d4_vs_minimax_trad_d4","23","MINIMAX_TRAD","MINIMAX_TRAD","True","22","1-0","checkmate","85,95","0"
"minimax_trad_d4_vs_minimax_trad_d4","24","MINIMAX_TRAD","MINIMAX_TRAD","True","23","1/2-1/2","draw_3fold_claim","42,68","0"
"minimax_trad_d4_vs_minimax_trad_d4","25","MINIMAX_TRAD","MINIMAX_TRAD","True","24","1/2-1/2","draw_3fold_claim","48,31","0"
"minimax_trad_d4_vs_minimax_trad_d4","26","MINIMAX_TRAD","MINIMAX_TRAD","True","0","1/2-1/2","draw_3fold_claim","58,13","0"
"minimax_trad_d4_vs_minimax_trad_d4","27","MINIMAX_TRAD","MINIMAX_TRAD","True","1","1/2-1/2","draw_3fold_claim","56,84","0"
"minimax_trad_d4_vs_minimax_trad_d4","28","MINIMAX_TRAD","MINIMAX_TRAD","True","2","0-1","checkmate","43,89","0"
"minimax_trad_d4_vs_minimax_trad_d4","29","MINIMAX_TRAD","MINIMAX_TRAD","True","3","0-1","checkmate","63,48","0"
"minimax_trad_d4_vs_minimax_trad_d4","30","MINIMAX_TRAD","MINIMAX_TRAD","True","4","1/2-1/2","draw_3fold_claim","43,38","0"
"minimax_trad_d5_vs_minimax_trad_d4","1","MINIMAX_TRAD","MINIMAX_TRAD","False","0","1-0","checkmate","254,94","0"
"minimax_trad_d5_vs_minimax_trad_d4","2","MINIMAX_TRAD","MINIMAX_TRAD","False","1","1-0","checkmate","156,93","0"
"minimax_trad_d5_vs_minimax_trad_d4","3","MINIMAX_TRAD","MINIMAX_TRAD","False","2","1-0","checkmate","311,38","0"
"minimax_trad_d5_vs_minimax_trad_d4","4","MINIMAX_TRAD","MINIMAX_TRAD","False","3","1-0","checkmate","136,24","0"
"minimax_trad_d5_vs_minimax_trad_d4","5","MINIMAX_TRAD","MINIMAX_TRAD","False","4","1/2-1/2","draw_3fold_claim","97,62","0"
"minimax_trad_d5_vs_minimax_trad_d4","6","MINIMAX_TRAD","MINIMAX_TRAD","False","5","1-0","checkmate","219,68","0"
"minimax_trad_d5_vs_minimax_trad_d4","7","MINIMAX_TRAD","MINIMAX_TRAD","False","6","1-0","checkmate","154,57","0"
"minimax_trad_d5_vs_minimax_trad_d4","8","MINIMAX_TRAD","MINIMAX_TRAD","False","7","1-0","checkmate","348,96","0"
"minimax_trad_d5_vs_minimax_trad_d4","9","MINIMAX_TRAD","MINIMAX_TRAD","False","8","1-0","checkmate","86,93","0"
"minimax_trad_d5_vs_minimax_trad_d4","10","MINIMAX_TRAD","MINIMAX_TRAD","False","9","1/2-1/2","draw_3fold_claim","170,67","0"
"minimax_trad_d5_vs_minimax_trad_d4","11","MINIMAX_TRAD","MINIMAX_TRAD","False","10","1/2-1/2","draw_3fold_claim","106,83","0"
"minimax_trad_d5_vs_minimax_trad_d4","12","MINIMAX_TRAD","MINIMAX_TRAD","False","11","1-0","checkmate","172,59","0"
"minimax_trad_d5_vs_minimax_trad_d4","13","MINIMAX_TRAD","MINIMAX_TRAD","False","12","1-0","checkmate","182,49","0"
"minimax_trad_d5_vs_minimax_trad_d4","14","MINIMAX_TRAD","MINIMAX_TRAD","False","13","1/2-1/2","draw_3fold_claim","74,79","0"
"minimax_trad_d5_vs_minimax_trad_d4","15","MINIMAX_TRAD","MINIMAX_TRAD","False","14","1-0","checkmate","193,78","0"
"minimax_trad_d5_vs_minimax_trad_d4","16","MINIMAX_TRAD","MINIMAX_TRAD","True","15","1-0","checkmate","311,25","0"
"minimax_trad_d5_vs_minimax_trad_d4","17","MINIMAX_TRAD","MINIMAX_TRAD","True","16","1-0","checkmate","173,15","0"
